Rectangle Annotation,Coarse Annotation
rectangle_fine_B_cells_Memory,rectangle_bcells
rectangle_fine_B_cells_Naive,rectangle_bcells
rectangle_fine_CAFs_MSC_iCAF_like,rectangle_caf
rectangle_fine_CAFs_myCAF_like,rectangle_caf
rectangle_fine_Cancer_Basal_SC,rectangle_tumor
rectangle_fine_Cancer_Her2_SC,rectangle_tumor
rectangle_fine_Cancer_LumA_SC,rectangle_tumor
rectangle_fine_Cancer_LumB_SC,rectangle_tumor
rectangle_fine_DCs,REMOVE
rectangle_fine_Endothelial_ACKR1,REMOVE
rectangle_fine_Endothelial_CXCL12,REMOVE
rectangle_fine_Endothelial_Lymphatic_LYVE1,REMOVE
rectangle_fine_Endothelial_RGS5,REMOVE
rectangle_fine_Macrophage,REMOVE
rectangle_fine_Monocyte,REMOVE
rectangle_fine_NK_cells,REMOVE
rectangle_fine_NKT_cells,REMOVE
rectangle_fine_PVL_Differentiated,REMOVE
rectangle_fine_PVL_Immature,REMOVE
rectangle_fine_Plasmablasts,rectangle_bcells
rectangle_fine_T_cells_CD4,REMOVE
rectangle_fine_T_cells_CD8,rectangle_cd8
rectangle_fine_Unknown,rectangle_tumor
