Rectangle Annotation,Fine Annotation,Coarse Annotation
rectangle_fine_B_cells_Memory,B cells,rectangle_bcells
rectangle_fine_B_cells_Naive,B cells,rectangle_bcells
rectangle_fine_CAFs_MSC_iCAF_like,CAFs,rectangle_caf
rectangle_fine_CAFs_myCAF_like,CAFs,rectangle_caf
rectangle_fine_Cancer_Basal_SC,Tumor cells,rectangle_tumor
rectangle_fine_Cancer_Her2_SC,Tumor cells,rectangle_tumor
rectangle_fine_Cancer_LumA_SC,Tumor cells,rectangle_tumor
rectangle_fine_Cancer_LumB_SC,Tumor cells,rectangle_tumor
rectangle_fine_DCs,Dendritic cells,REMOVE
rectangle_fine_Endothelial_ACKR1,Endothelial cells,REMOVE
rectangle_fine_Endothelial_CXCL12,Endothelial cells,REMOVE
rectangle_fine_Endothelial_Lymphatic_LYVE1,Endothelial cells,REMOVE
rectangle_fine_Endothelial_RGS5,Endothelial cells,REMOVE
rectangle_fine_Macrophage,Macrophages,REMOVE
rectangle_fine_Monocyte,Monocytes,REMOVE
rectangle_fine_NK_cells,NK cells,REMOVE
rectangle_fine_NKT_cells,REMOVE,REMOVE
rectangle_fine_PVL_Differentiated,PVL,REMOVE
rectangle_fine_PVL_Immature,PVL,REMOVE
rectangle_fine_Plasmablasts,B cells,rectangle_bcells
rectangle_fine_T_cells_CD4,T cells,REMOVE
rectangle_fine_T_cells_CD8,T cells,rectangle_cd8
rectangle_fine_Unknown,Tumor cells,rectangle_tumor
